Personid,Sex,Age group,Ethnicity,Qualification,Work and labour force status,Personal income,Hours worked,Main means of travel to work,Cigarette smoking status,Access to a cellphone /mobile phone,Access to the Internet,meshblock
518,Female,35-44 Years,Asian,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Public Transport,Ex-Smoker,Yes,Yes,MB03
519,Male,35-44 Years,Other Ethnicity,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB03
520,Female,35-44 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB03
521,Male,35-44 Years,Other Ethnicity,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB03
522,Male,35-44 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB03
523,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",50 Hours or More,Other,Ex-Smoker,No,Yes,MB03
524,Male,25-34 Years,Pacific Peoples,University Degree or Higher,Employed Part-time,"$ 5,001 - $10,000",30-39 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,No,No,MB03
525,Male,35-44 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,No,No,MB03
526,Male,15-24 Years,European,University Degree or Higher,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB03
527,Male,35-44 Years,European,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB03
528,Male,35-44 Years,Other Ethnicity,School Qualification,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB03
529,Male,65 Years and Over,European,Trade or Vocational,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB03
530,Female,35-44 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",30-39 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB03
531,Female,55-64 Years,European,School Qualification,Employed Part-time,"$ 5,000 or Less",1-19 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB03
532,Female,25-34 Years,Asian,School Qualification,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB03
533,Male,35-44 Years,Other Ethnicity,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB03
534,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",40-49 Hours,Did Not Travel to Work,Ex-Smoker,Yes,Yes,MB03
535,Male,35-44 Years,Other Ethnicity,School Qualification,Employed Full-time,"$30,001 - $50,000",50 Hours or More,Motor Cycle or Power Cycle,Never Smoked Regularly,Yes,Yes,MB03
536,Female,45-54 Years,European,No Qualification,Not Employed,"$50,001 or More",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB03
537,Male,25-34 Years,Pacific Peoples,No Qualification,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB03
538,Female,15-24 Years,Pacific Peoples,School Qualification,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,No,No,MB03
539,Female,15-24 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB03
540,Female,25-34 Years,European,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,No,Yes,MB03
541,Female,45-54 Years,European,Trade or Vocational,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB03
542,Female,15-24 Years,Maori,School Qualification,Employed Full-time,"$ 5,001 - $10,000",30-39 Hours,"Passenger in a Car, Truck, Van or Company Bus",Regular Smoker,Yes,Yes,MB03
543,Male,35-44 Years,Pacific Peoples,No Qualification,Employed Full-time,"$10,001 - $20,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB03
544,Female,25-34 Years,Asian,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB03
545,Female,25-34 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",20-29 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB03
546,Female,25-34 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB03
547,Female,25-34 Years,Maori,University Degree or Higher,Employed Part-time,"$50,001 or More",40-49 Hours,Public Transport,Never Smoked Regularly,Yes,Yes,MB03
548,Female,15-24 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB03
549,Female,25-34 Years,Maori,No Qualification,Employed Part-time,"$10,001 - $20,000",50 Hours or More,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB03
550,Female,55-64 Years,European,School Qualification,Employed Part-time,"$30,001 - $50,000",40-49 Hours,Public Transport,Ex-Smoker,Yes,Yes,MB03
551,Male,55-64 Years,European,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB03
552,Female,65 Years and Over,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB03
553,Female,45-54 Years,Asian,University Degree or Higher,Employed Full-time,"$ 5,001 - $10,000",1-19 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,No,MB03
554,Male,45-54 Years,Maori,No Qualification,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB03
555,Male,25-34 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB03
556,Male,45-54 Years,Asian,University Degree or Higher,Employed Full-time,"$10,001 - $20,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,No,Yes,MB03
557,Male,35-44 Years,Other Ethnicity,University Degree or Higher,Employed Full-time,"$20,001 - $30,000",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB03
558,Female,25-34 Years,Maori,School Qualification,Employed Full-time,"$ 5,000 or Less",40-49 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB03
559,Male,25-34 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB03
560,Female,35-44 Years,Pacific Peoples,University Degree or Higher,Employed Part-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB03
561,Female,45-54 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB03
562,Female,35-44 Years,Asian,University Degree or Higher,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB03
563,Male,55-64 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,No,Yes,MB03
564,Male,55-64 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB03
565,Female,15-24 Years,Pacific Peoples,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,No,Yes,MB03
566,Female,35-44 Years,Asian,Trade or Vocational,Employed Part-time,"$20,001 - $30,000",20-29 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB03
567,Female,55-64 Years,Pacific Peoples,School Qualification,Employed Full-time,"$30,001 - $50,000",1-19 Hours,Did Not Travel to Work,Never Smoked Regularly,No,No,MB03
568,Male,35-44 Years,European,School Qualification,Employed Full-time,"$50,001 or More",20-29 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB03
569,Female,25-34 Years,European,School Qualification,Employed Full-time,"$50,001 or More",30-39 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB03
570,Male,45-54 Years,Asian,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",30-39 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,No,Yes,MB03
571,Female,35-44 Years,Maori,University Degree or Higher,Employed Part-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB03
572,Female,35-44 Years,Asian,School Qualification,Employed Full-time,"$10,001 - $20,000",20-29 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB03
573,Male,35-44 Years,Other Ethnicity,Trade or Vocational,Employed Part-time,"$20,001 - $30,000",1-19 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,No,No,MB03
574,Female,55-64 Years,European,School Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB03
575,Male,35-44 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,No,Yes,MB03
576,Female,65 Years and Over,European,Trade or Vocational,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB03
577,Female,35-44 Years,Maori,No Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,No,MB03
578,Female,25-34 Years,European,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB03
579,Female,15-24 Years,European,School Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB03
580,Male,55-64 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",50 Hours or More,Did Not Travel to Work,Never Smoked Regularly,No,Yes,MB03
581,Female,55-64 Years,European,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB03
582,Male,25-34 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,No,Yes,MB03
583,Female,55-64 Years,Pacific Peoples,No Qualification,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,No,No,MB03
584,Male,45-54 Years,European,Trade or Vocational,Not Employed,"$50,001 or More",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB03
585,Female,45-54 Years,European,No Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB03
586,Male,35-44 Years,Asian,University Degree or Higher,Employed Full-time,"$50,001 or More",40-49 Hours,Did Not Travel to Work,Regular Smoker,No,No,MB03
587,Male,35-44 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Did Not Travel to Work,Ex-Smoker,Yes,Yes,MB03
588,Male,55-64 Years,Asian,School Qualification,Employed Full-time,"$30,001 - $50,000",1-19 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,No,MB03
589,Female,45-54 Years,European,Trade or Vocational,Employed Part-time,"$10,001 - $20,000",20-29 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB03
590,Male,45-54 Years,European,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB03
591,Female,35-44 Years,Pacific Peoples,No Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB03
592,Female,65 Years and Over,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,No,No,MB03
593,Female,55-64 Years,Maori,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Ex-Smoker,Yes,No,MB03
594,Female,45-54 Years,Pacific Peoples,School Qualification,Employed Full-time,"$20,001 - $30,000",30-39 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,No,Yes,MB03
595,Male,35-44 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Did Not Travel to Work,Regular Smoker,Yes,Yes,MB03
596,Male,15-24 Years,Asian,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB03
597,Female,15-24 Years,Maori,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Passenger in a Car, Truck, Van or Company Bus",Regular Smoker,No,No,MB03
598,Female,65 Years and Over,Asian,No Qualification,Employed Part-time,"$ 5,001 - $10,000",1-19 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,No,MB03
599,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,No,Yes,MB03
600,Female,15-24 Years,Asian,School Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB03
601,Male,55-64 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Did Not Travel to Work,Regular Smoker,No,No,MB03
602,Male,25-34 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB03
603,Female,35-44 Years,Maori,Trade or Vocational,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB03
604,Male,55-64 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB03
605,Male,45-54 Years,Maori,No Qualification,Employed Full-time,"$30,001 - $50,000",30-39 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,No,MB03
606,Female,25-34 Years,European,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",20-29 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB03
607,Female,35-44 Years,European,School Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB03
608,Female,65 Years and Over,Maori,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Ex-Smoker,No,No,MB03
609,Male,15-24 Years,Other Ethnicity,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Did Not Travel to Work,Regular Smoker,Yes,Yes,MB03
610,Female,15-24 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB03
611,Female,25-34 Years,European,School Qualification,Employed Full-time,"$50,001 or More",50 Hours or More,Did Not Travel to Work,Ex-Smoker,No,Yes,MB03
612,Male,15-24 Years,Other Ethnicity,No Qualification,Employed Full-time,"$ 5,000 or Less",50 Hours or More,Did Not Travel to Work,Never Smoked Regularly,No,Yes,MB03
613,Male,45-54 Years,European,Trade or Vocational,Not Employed,"$30,001 - $50,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB03
614,Male,35-44 Years,European,Trade or Vocational,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB03
615,Female,45-54 Years,European,University Degree or Higher,Employed Part-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB03
616,Female,25-34 Years,Asian,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB03
617,Female,25-34 Years,European,University Degree or Higher,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB03
618,Female,65 Years and Over,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,No,No,MB03
619,Male,45-54 Years,European,School Qualification,Employed Full-time,"$50,001 or More",50 Hours or More,"Passenger in a Car, Truck, Van or Company Bus",Never Smoked Regularly,Yes,No,MB03
620,Female,35-44 Years,Maori,No Qualification,Employed Full-time,"$30,001 - $50,000",20-29 Hours,"Drove a Car, Truck or Van",Ex-Smoker,No,No,MB03
621,Male,15-24 Years,Other Ethnicity,School Qualification,Employed Full-time,"$20,001 - $30,000",40-49 Hours,Public Transport,Never Smoked Regularly,Yes,Yes,MB03
622,Female,25-34 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,No,MB03
623,Male,25-34 Years,European,School Qualification,Employed Full-time,"$10,001 - $20,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB03
624,Female,35-44 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB03
625,Male,35-44 Years,European,School Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB03
626,Male,35-44 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,No,Yes,MB03
627,Female,35-44 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB03
628,Female,15-24 Years,Asian,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,No,Yes,MB03
629,Female,35-44 Years,Maori,No Qualification,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB03
630,Male,35-44 Years,European,No Qualification,Employed Full-time,"$30,001 - $50,000",50 Hours or More,Motor Cycle or Power Cycle,Ex-Smoker,Yes,Yes,MB03
631,Male,25-34 Years,Pacific Peoples,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,No,Yes,MB03
632,Male,35-44 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,No,Yes,MB03
633,Male,15-24 Years,European,No Qualification,Employed Full-time,"$20,001 - $30,000",1-19 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB03
634,Female,15-24 Years,Maori,School Qualification,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB03
635,Female,35-44 Years,European,School Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB03
636,Female,35-44 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB03
